,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9
2023-01-21 01:00:00+00:00,-0.10465009751264923,-0.08865430600555084,-0.08746956102727257,-0.08497365493272874,-0.08666489434553823,-0.07790180367892724,-0.07553351096058158,-0.03623235308106054,-0.019838932307374338,-0.08544877970872894
2023-01-21 02:00:00+00:00,-0.09853595473602358,-0.09175936365120618,-0.08662339541848321,-0.08601266717225248,-0.0875462789145581,-0.07879114316067806,-0.07917160874997947,-0.029718653778788795,-0.007733165883787876,-0.08815859647905411
2023-01-21 03:00:00+00:00,-0.09856260922661467,-0.09430774189326148,-0.08890883463921403,-0.0890558430401295,-0.09006944471127146,-0.08089732018007506,-0.08158867580251963,-0.030545118908489988,-0.0061064377761124305,-0.09352402385470815
2023-01-21 04:00:00+00:00,-0.09817309188376236,-0.09668403124336414,-0.09024713756059508,-0.09124685024028734,-0.09185046072344102,-0.08290249480548387,-0.08376862134153429,-0.02974151325126284,-0.0031972875935023654,-0.09752199054528923
2023-01-21 05:00:00+00:00,-0.10313764858650074,-0.09910176181658392,-0.0945480453253956,-0.09688692060350279,-0.09566689764909661,-0.08465340391190856,-0.08521535812354519,-0.03536110301975279,-0.009120939347925974,-0.10300566753543355
2023-01-21 06:00:00+00:00,-0.10868360851102674,-0.10091103899331091,-0.09806293125534296,-0.10079533856139256,-0.0983050735972153,-0.08570107758897985,-0.08590774105513888,-0.0400826761623537,-0.015509213617188836,-0.10640969796633248
2023-01-21 07:00:00+00:00,-0.11634345811225053,-0.10285396816288139,-0.10453592000529008,-0.10434604677580359,-0.10202343660095828,-0.08697837693306304,-0.08624078412737557,-0.04816024091782012,-0.025350359578690154,-0.11204747264600715
2023-01-21 08:00:00+00:00,-0.12228369131986164,-0.10451844009519452,-0.10946310328777334,-0.10703763378744194,-0.10547338894072453,-0.08833567752350927,-0.08754171398575156,-0.05427676553197505,-0.03183492893842711,-0.11716371196454262
2023-01-21 09:00:00+00:00,-0.12810599532509007,-0.1059223538043126,-0.1137596733435772,-0.10942433148626418,-0.11035051249890382,-0.08998377570499774,-0.08882673521136908,-0.05949963851678583,-0.03706416265436986,-0.1215223666815296
2023-01-21 10:00:00+00:00,-0.13610445737463814,-0.10655899538149682,-0.11735999772271014,-0.1110578480159444,-0.11471967857119234,-0.09191214474382231,-0.09014580378814294,-0.06540762585155721,-0.042978830201361964,-0.12699002093393658
2023-01-21 11:00:00+00:00,-0.1434066575558611,-0.10586239750573469,-0.11934725118661896,-0.11121728213998794,-0.1181885752101188,-0.0935653274390448,-0.09128333890208515,-0.07034760779354066,-0.04792774144870328,-0.1299447770828527
2023-01-21 12:00:00+00:00,-0.15033533611799607,-0.10664970748919675,-0.12271380184235184,-0.11180752302588201,-0.1217635376596192,-0.09592018011573658,-0.09382297226705905,-0.07489700623705373,-0.05122468705722229,-0.13489101230844142
2023-01-21 13:00:00+00:00,-0.15566337488578721,-0.10857753255091576,-0.12499033486131308,-0.11144654222797057,-0.12426409248173592,-0.09945200031047885,-0.09589103333917437,-0.07577317689938701,-0.05096214520538801,-0.13989754907185098
2023-01-21 14:00:00+00:00,-0.16086826289265885,-0.11019746461822641,-0.12797357719470212,-0.11250327369708446,-0.12643249218543343,-0.10215955299052182,-0.09784857894432847,-0.07772269241453336,-0.052014286376822774,-0.14401738343040163
2023-01-21 15:00:00+00:00,-0.16135701478370426,-0.11019440087202358,-0.1275341123876825,-0.11271962668392546,-0.12597976256671112,-0.10160797055567583,-0.09736421449269828,-0.07687874132577077,-0.050927113661298,-0.1423135063460762
2023-01-21 16:00:00+00:00,-0.16236022265381136,-0.11056449779468897,-0.12910470311118336,-0.11406043587836345,-0.12632241583929302,-0.10161610491192735,-0.09780136690476568,-0.07819669740977045,-0.05296059635202417,-0.1421506299627284
2023-01-21 17:00:00+00:00,-0.1599778959444201,-0.11134522053900367,-0.12989946450224235,-0.11579159678811685,-0.12553966102632463,-0.10014111321876368,-0.09789095173487222,-0.07807981609641726,-0.054535004593137607,-0.1413450598029434
2023-01-21 18:00:00+00:00,-0.15767834566400438,-0.11282243500975929,-0.1326344191719446,-0.11875350753215355,-0.125199007508311,-0.09906011909406887,-0.0986785190975406,-0.07952009105885602,-0.05741317919545637,-0.14262363595037314
2023-01-21 19:00:00+00:00,-0.15358762307923254,-0.11402039156573678,-0.13375162154141426,-0.12043442813182459,-0.12411908900923066,-0.09812025756328069,-0.09889417571872769,-0.079708394001163,-0.05905713679861048,-0.14247937195481694
2023-01-21 20:00:00+00:00,-0.14968137337126333,-0.11611712587195329,-0.13480150332879412,-0.12143729538129816,-0.12281518110653311,-0.09806216166274168,-0.09896502031743512,-0.07821615510506841,-0.05862807210229139,-0.1441240815458359
2023-01-21 21:00:00+00:00,-0.1446835225807219,-0.11872990619225397,-0.13813539399454147,-0.12294640923819902,-0.1211471384096324,-0.09865040069822814,-0.1014366030185492,-0.07974338209966372,-0.06060373965507444,-0.14748692913761138
2023-01-21 22:00:00+00:00,-0.1374708309023813,-0.12192248728446937,-0.14051970462934874,-0.1211590447041494,-0.12056687403520597,-0.09971284538446265,-0.10343431255251526,-0.07900054210960766,-0.056663225219169014,-0.1516729846125154
2023-01-21 23:00:00+00:00,-0.1282585255921542,-0.1247484412160168,-0.14229221461190525,-0.1175654638346772,-0.12304941583628484,-0.10166359728517352,-0.10581487925223607,-0.07807197003108424,-0.050175895705948395,-0.1554413262180752
2023-01-22 00:00:00+00:00,-0.12269751804469539,-0.12724581443000033,-0.14541408550821552,-0.11371223662005239,-0.12500127858107835,-0.10576004298934605,-0.10839595573280242,-0.0802556930274737,-0.04709985948052921,-0.16068598899725098
2023-01-22 01:00:00+00:00,-0.12039552230337527,-0.12893628995027312,-0.1491986195155672,-0.11026250913036503,-0.1262228612468259,-0.10936873042619463,-0.11008294416149783,-0.08382748842559246,-0.04872224998736903,-0.16455321886830784
