,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-17 12:00:00+00:00,-0.20589736,-0.21003833,-0.20991045,-0.20922345,-0.2172158,-0.21982321,-0.22405651,-0.21940205,-0.21550989,-0.24090084,-0.2171978,0.010105723
2022-11-17 13:00:00+00:00,-0.2064474,-0.21001935,-0.2105101,-0.20997086,-0.21660373,-0.21613714,-0.2225523,-0.21982816,-0.21494451,-0.23979184,-0.21668053,0.009510317
2022-11-17 14:00:00+00:00,-0.20727026,-0.20947388,-0.20995516,-0.20936307,-0.21543524,-0.21173814,-0.2194913,-0.22038716,-0.2129634,-0.23779118,-0.21538687,0.009003849
2022-11-17 15:00:00+00:00,-0.2091468,-0.20841247,-0.2085869,-0.20812407,-0.21376944,-0.20647708,-0.21522552,-0.2212989,-0.21101296,-0.23587394,-0.2137928,0.008925543
2022-11-17 16:00:00+00:00,-0.21138692,-0.20713842,-0.20645007,-0.20626071,-0.2119675,-0.20192096,-0.21094209,-0.22223496,-0.20850742,-0.2335284,-0.21203375,0.009254865
2022-11-17 17:00:00+00:00,-0.21275717,-0.20568132,-0.20393732,-0.2040413,-0.21045911,-0.198087,-0.20742169,-0.22276708,-0.20540431,-0.23088172,-0.2101438,0.0098163765
2022-11-17 18:00:00+00:00,-0.21376005,-0.20389783,-0.20095193,-0.20110947,-0.20888877,-0.19479653,-0.20405427,-0.22307947,-0.2021608,-0.22832489,-0.20810242,0.010605732
2022-11-17 19:00:00+00:00,-0.2143259,-0.20199788,-0.19814232,-0.1980071,-0.20752507,-0.19197837,-0.20178783,-0.222631,-0.19858491,-0.22568151,-0.20606618,0.011286834
2022-11-17 20:00:00+00:00,-0.21413735,-0.20000538,-0.1956777,-0.19490683,-0.20642993,-0.19001272,-0.20017272,-0.22134173,-0.195001,-0.22316316,-0.20408484,0.011717687
2022-11-17 21:00:00+00:00,-0.2142049,-0.19783014,-0.19332325,-0.19185778,-0.20543984,-0.18877709,-0.19876358,-0.21967989,-0.19157624,-0.2208476,-0.20223002,0.012099525
2022-11-17 22:00:00+00:00,-0.21406445,-0.19570756,-0.19104117,-0.18926555,-0.20477912,-0.18838349,-0.19794154,-0.21818277,-0.18869996,-0.21877292,-0.20068386,0.012381856
2022-11-17 23:00:00+00:00,-0.21364608,-0.19362134,-0.18911073,-0.18714973,-0.20435396,-0.18838617,-0.19737151,-0.21675512,-0.18682036,-0.21682563,-0.19940406,0.0124959685
2022-11-18 00:00:00+00:00,-0.21331182,-0.19186252,-0.1879037,-0.18559697,-0.20426598,-0.18908197,-0.19739628,-0.21392703,-0.18548727,-0.21514848,-0.19839819,0.012246417
2022-11-18 01:00:00+00:00,-0.21340972,-0.19049287,-0.18727446,-0.18475643,-0.20463964,-0.19093466,-0.19785017,-0.2108418,-0.18467718,-0.2138331,-0.19787101,0.011884641
2022-11-18 02:00:00+00:00,-0.21348643,-0.18952057,-0.187118,-0.18440029,-0.20521632,-0.19274217,-0.1985856,-0.20841366,-0.18449268,-0.2127102,-0.1976686,0.011553486
2022-11-18 03:00:00+00:00,-0.21231377,-0.18871859,-0.18743885,-0.18462297,-0.20576745,-0.19442394,-0.20002168,-0.20637473,-0.18459949,-0.21107578,-0.19753572,0.0109405
2022-11-18 04:00:00+00:00,-0.20871264,-0.18826014,-0.18812972,-0.18551582,-0.20631471,-0.19573402,-0.2016505,-0.20528015,-0.18539935,-0.20955452,-0.19745515,0.009959994
2022-11-18 05:00:00+00:00,-0.20370245,-0.18796164,-0.18896812,-0.18672764,-0.2067675,-0.19645315,-0.20333162,-0.20480159,-0.18661076,-0.2080994,-0.19734237,0.008964529
2022-11-18 06:00:00+00:00,-0.19971025,-0.18807104,-0.1903108,-0.18855613,-0.20736358,-0.19669884,-0.20501482,-0.20421296,-0.18795013,-0.20656031,-0.19744489,0.008152675
2022-11-18 07:00:00+00:00,-0.19715273,-0.18834797,-0.191594,-0.1901424,-0.20770162,-0.19623849,-0.206294,-0.20354205,-0.18949512,-0.20536235,-0.19758706,0.007588147
2022-11-18 08:00:00+00:00,-0.19596165,-0.18881354,-0.19281274,-0.19178176,-0.20792884,-0.19538334,-0.20716566,-0.2025539,-0.19079453,-0.2041496,-0.19773456,0.0070971665
2022-11-18 09:00:00+00:00,-0.19524702,-0.18936345,-0.19374633,-0.1931285,-0.20787048,-0.19384062,-0.20716184,-0.20167297,-0.19197941,-0.20315373,-0.19771644,0.006651278
2022-11-18 10:00:00+00:00,-0.1938115,-0.19016996,-0.19433475,-0.19413146,-0.2076065,-0.19246513,-0.20644113,-0.20054492,-0.19282839,-0.20196167,-0.19742955,0.006210097
2022-11-18 11:00:00+00:00,-0.19265747,-0.19075999,-0.19428664,-0.19433817,-0.20689845,-0.19108605,-0.20457318,-0.19932956,-0.19291362,-0.20051742,-0.19673607,0.005738283
2022-11-18 12:00:00+00:00,-0.19160363,-0.19091865,-0.19384775,-0.19421431,-0.20595309,-0.18975618,-0.2022002,-0.19913486,-0.19241509,-0.19917208,-0.19592158,0.005396916
2022-11-18 13:00:00+00:00,-0.19108894,-0.19087604,-0.19319874,-0.19397298,-0.20482734,-0.18836382,-0.19953758,-0.20111763,-0.19185242,-0.19777793,-0.19526133,0.005293333
2022-11-18 14:00:00+00:00,-0.19096452,-0.19071776,-0.19232643,-0.19355842,-0.20362589,-0.18763092,-0.1973381,-0.2033355,-0.19104052,-0.19622308,-0.19467612,0.0054122256
2022-11-18 15:00:00+00:00,-0.19042888,-0.19029275,-0.19092116,-0.19242144,-0.2020357,-0.18748999,-0.19489908,-0.2051368,-0.18973523,-0.19437748,-0.19377384,0.005657605
2022-11-18 16:00:00+00:00,-0.18960437,-0.18944597,-0.18897748,-0.19069308,-0.20011458,-0.18772444,-0.19205609,-0.20658726,-0.18759736,-0.19207013,-0.19248708,0.006119544
2022-11-18 17:00:00+00:00,-0.18886474,-0.18806303,-0.1863335,-0.1880722,-0.19780183,-0.18818706,-0.18845764,-0.2069307,-0.18475693,-0.18929851,-0.19067663,0.006656548
2022-11-18 18:00:00+00:00,-0.18818793,-0.18672529,-0.18437871,-0.186198,-0.19578674,-0.18937522,-0.18612298,-0.20667893,-0.18226033,-0.18694714,-0.18926613,0.007078863
2022-11-18 19:00:00+00:00,-0.18671456,-0.18445829,-0.18118435,-0.18268767,-0.19300312,-0.19030812,-0.18312317,-0.20431632,-0.17846799,-0.18344992,-0.18677136,0.0074959323
