,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-22 03:00:00+00:00,-0.16003937,-0.17187965,-0.17832905,-0.15527195,-0.1861363
2022-11-22 04:00:00+00:00,-0.16149524,-0.17209339,-0.17900696,-0.15694001,-0.18682638
2022-11-22 05:00:00+00:00,-0.16299587,-0.17280397,-0.18001655,-0.1586819,-0.18717057
2022-11-22 06:00:00+00:00,-0.16468537,-0.17381543,-0.18130058,-0.16032353,-0.18764704
2022-11-22 07:00:00+00:00,-0.16646048,-0.1751093,-0.18271235,-0.1619415,-0.1881051
2022-11-22 08:00:00+00:00,-0.16808867,-0.17696258,-0.18429473,-0.16369158,-0.1884228
2022-11-22 09:00:00+00:00,-0.16973287,-0.17917317,-0.18594864,-0.16535291,-0.18892702
2022-11-22 10:00:00+00:00,-0.1716226,-0.18079606,-0.1873807,-0.16710863,-0.18974906
2022-11-22 11:00:00+00:00,-0.17364785,-0.18256491,-0.18859595,-0.16889796,-0.19046667
2022-11-22 12:00:00+00:00,-0.1755135,-0.18411028,-0.18978095,-0.17070413,-0.19116575
2022-11-22 13:00:00+00:00,-0.17741564,-0.18549454,-0.19094959,-0.17243147,-0.19181558
2022-11-22 14:00:00+00:00,-0.17888442,-0.1871112,-0.19220415,-0.17417344,-0.19223815
2022-11-22 15:00:00+00:00,-0.18044981,-0.18896136,-0.19402245,-0.17597061,-0.1926716
2022-11-22 16:00:00+00:00,-0.18205357,-0.19091195,-0.19602305,-0.17776105,-0.19325641
2022-11-22 17:00:00+00:00,-0.18339056,-0.19303104,-0.19793817,-0.17959017,-0.19377631
2022-11-22 18:00:00+00:00,-0.18423203,-0.19508845,-0.20002267,-0.1811775,-0.19433624
2022-11-22 19:00:00+00:00,-0.18462652,-0.19661722,-0.2020055,-0.18215522,-0.19503564
2022-11-22 20:00:00+00:00,-0.18434465,-0.19734496,-0.20350593,-0.18222332,-0.19595692
2022-11-22 21:00:00+00:00,-0.18387443,-0.19803563,-0.20453897,-0.18142629,-0.1967296
2022-11-22 22:00:00+00:00,-0.18307567,-0.19929081,-0.20449334,-0.1800488,-0.19697991
2022-11-22 23:00:00+00:00,-0.18179017,-0.19995883,-0.2033073,-0.17849395,-0.19639418
2022-11-23 00:00:00+00:00,-0.17993751,-0.19899419,-0.20141482,-0.17685145,-0.19499192
2022-11-23 01:00:00+00:00,-0.17814043,-0.19733715,-0.19968808,-0.17538756,-0.19374076
2022-11-23 02:00:00+00:00,-0.17676982,-0.19632652,-0.19848436,-0.17414558,-0.1934456
2022-11-23 03:00:00+00:00,-0.17552635,-0.19623923,-0.19761384,-0.17265975,-0.1931077
2022-11-23 04:00:00+00:00,-0.17417762,-0.1962015,-0.19663593,-0.17100596,-0.19244981
2022-11-23 05:00:00+00:00,-0.17314339,-0.19436517,-0.19432119,-0.16920087,-0.19178474
2022-11-23 06:00:00+00:00,-0.17238674,-0.1921278,-0.19182378,-0.16753659,-0.19112274
2022-11-23 07:00:00+00:00,-0.17304438,-0.19018817,-0.18942738,-0.16684613,-0.19092417
2022-11-23 08:00:00+00:00,-0.1742064,-0.18834907,-0.18816227,-0.16716468,-0.19101474
2022-11-23 09:00:00+00:00,-0.17551306,-0.1867001,-0.18812096,-0.16812974,-0.19129828
2022-11-23 10:00:00+00:00,-0.17716515,-0.18527162,-0.18880695,-0.16920257,-0.19222683
2022-11-23 11:00:00+00:00,-0.17862844,-0.18483096,-0.18970409,-0.17015287,-0.19372672
2022-11-23 12:00:00+00:00,-0.18055058,-0.18702203,-0.19085807,-0.17155376,-0.19529536
